family_id,family,variation,alias,parents,children,description,parameters,upper_bound,lower_bound,domain
6.0,Matrix Product,Matrix Multiplication,,,"Matrix Product Verification; Boolean Matrix Multiplication; Distance Product; $(\min, \leq)$ Product; Partial Matrix Multiplication; Rectangular Matrices; Dense Matrix Multiplication",Matrix Multiplication or Matrix Product is a binary operation that produces a matrix from two matrices with entries in a field; or; more generally; in a ring or even a semiring.,$n$: dimension of square matrix,O(n^2.37285956),Omega(n^2),Combinatorics
6.0,Matrix Product,Boolean Matrix Multiplication,BMM; and-or Matrix Product,Matrix Multiplication,Boolean Matrix Multiplication (Combinatorial); Colorful Boolean Matrix Multiplication,Matrix multiplication of two boolean matrices (i.e. where all entries are in $F_2$ and addition is mod 2),$n$: dimension of square matrix,O(n^2.37285956),Omega(n^2),Combinatorics
6.0,Matrix Product,Boolean Matrix Multiplication (Combinatorial),BMM (Combinatorial),Boolean Matrix Multiplication,,"Matrix multiplication of two boolean matrices (i.e. where all entries are in $F_2$ and addition is mod 2). Here, only ""combinatorial"" algorithms are considered.",$n$: dimension of square matrix,O(n^3*poly(log log n)/log^4 n),$\Omega(n^{3-\epsilon})$ for any $\epsilon > 0$ for combinatorial algorithms,Combinatorics
6.0,Matrix Product,Colorful Boolean Matrix Multiplication,Colorful BMM,Boolean Matrix Multiplication,,"Here, we are given an $n\times n$ Boolean matrix $A$ and an $n\times n$ Boolean matrix $B$ and a mapping $color : [n] \to \Gamma$. For each $i\in [n]$ and $j\in [n]$, we want to decide whether $\{color(k) : A[i, k] \wedge B[k, j], k \in [n]\} = \Gamma$. In other words, for every pair of $i$, $j$, we want to determine whether the witnesses cover all the colors.",$n$: dimension of square matrix,,,
6.0,Matrix Product,Matrix Product Verification,,Matrix Multiplication,,"Decision problem variant of matrix mult. Given three matrices $A, B, C$, verify that $AB = C$, i.e. that $C$ is the matrix product of $A$ and $B$",$n$: dimension of square matrix,,,Combinatorics
6.0,Matrix Product,Distance Product,"$(\min, +)$ Matrix Multiplication; $(\min, +)$ Matrix Product; Funny Matrix Multiplication",Matrix Product,Distance Product Verification,"Matrix product over the $(\min, +)$-semiring",$n$: dimension of square matrix,,,Combinatorics
6.0,Matrix Product,Distance Product Verification,,Distance Product,,"Decision problem variant of distance product. Given three matrices $A, B, C$ over the $(\min, +)$-semiring, verify that $AB = C$, i.e. that $C$ is the matrix product of $A$ and $B$",$n$: dimension of square matrix,,,Combinatorics
6.0,Matrix Product,"$(\min, \leq)$ Product","$(\min, \leq)$ Matrix Multiplication",Matrix Product,,"Matrix product over the $(\min, \leq)$-semiring",$n$: dimension of square matrix,,,Combinatorics
6.0,Matrix Product,Rectangular Matrices,,Matrix Product,,,,,,
6.0,Matrix Product,Dense Matrix Multiplication,,Matrix Product,,,,,,
6.0,Matrix Product,Partial Matrix Multiplication,,Matrix Product,,"Given two matrices $A, B$ of real numbers (both $N\times N$) and a set $S\subseteq N\times N$ of entries, compute the value of $(A\times B)[i, j]$ for all $(i, j)\in S$.","$n$: dimension of square matrix
$s$: size of $S$",,,
6.0,Matrix Product,Partial Matrix Multiplication Indexing,,"Partial Matrix Multiplication, Matrix Product",,"Preprocess an $N\times N$ matrix $A$ of real numbers and a collection $\mathcal S = \{S_1, S_2, \dots, S_k\}$ of sets of entries ($S_i\subseteq N\times N$) so that given a sequence $B_1, \dots, B_k$ of $N\times N$ matrices of real numbers, we enumerate the entries of $A\times B_i$ that correspond to $S_i$.","$n$: dimension of square matrix
$k$: number of sets in $\mathcal S$
$size(S)$: $\sum_{i=1}^k |S_i|$",,,
6.0,Matrix Product,Bounded Bandwidth Matrix Multiplication,,,,,,,,
9.0,Linear System,General Linear System,,,"Sparse Linear System; Positive Definite, Hermitian Matrix; Non-Definite, Symmetric Matrix; Toeplitz Matrix; Vandermonde Matrix; Overdetermined System; Sparse Solution; Quantum Linear System","A system of linear equations (or linear system) is a collection of one or more linear equations involving the same set of variables. This is typically written in the form $Ax=b$ where $A$ is a matrix and $x, b$ are vectors. In this case, we impose no restrictions on $A$.","$n$: number of variables and number of equations
$m$: number of nonzero entries in matrix
$k$: ratio between largest and smallest eigenvalues",O(n^2.37285956),Omega(n^2),Numerical Analysis
