family,variation,algorithm,year,time_class,time_expr,time_encoding,space_class,space_expr,looked_at,approximate,heuristic,randomized,model,authors,title,paper_url,doi,description,remarks
Shortest-Path (Directed Graphs),Nonnegative Weights (Adjacency List Model),Furrow 2,2006,2.8,O(sqrt(n*m)*log(n)),,2.0,O(log(n)),1.0,,,,Quantum Computing,['Bartholomew Furrow'],['A Panoply of Quantum Algorithms'],https://arxiv.org/pdf/quant-ph/0606127,10.48550/arXiv.quant-ph/0606127,Quantum algorithm,"This algorithm is the same as Dürr et al. (2004), with the only difference being changing one step to apply a new search subroutine, thus giving the speedup"
Shortest-Path (Directed Graphs),Nonnegative Weights (Adjacency Matrix Model),Furrow 2,2006,4.5,O(n^(3/2)*log(n)),,2.0,O(log(n)),1.0,,,,Quantum Computing,['Bartholomew Furrow'],['A Panoply of Quantum Algorithms'],https://arxiv.org/pdf/quant-ph/0606127,10.48550/arXiv.quant-ph/0606127,Quantum algorithm,"This algorithm is the same as Dürr et al. (2004), with the only difference being changing one step to apply a new search subroutine, thus giving the speedup"
Shortest-Path (Directed Graphs),Directed Acyclic Graphs (Adjacency List Model),"Khadiev, Safina",2019,3.4,O(sqrt(n*m)*log(n)),,,,1.0,,,,Quantum Computing,"['Kamil Khadiev', 'Liliya Safina']","['Quantum Algorithm for Shortest Path Search
in Directed Acyclic Graph']",https://link.springer.com/content/pdf/10.3103/S0278641919010023.pdf,10.3103/S0278641919010023,Quantum algorithm,
Shortest-Path (Directed Graphs),Directed Acyclic Graphs (Adjacency Matrix Model),"Khadiev, Safina",2019,4.4,O(n^(3/2)*log(n)),,,,1.0,,,,Quantum Computing,"['Kamil Khadiev', 'Liliya Safina']","['Quantum Algorithm for Shortest Path Search
in Directed Acyclic Graph']",https://link.springer.com/content/pdf/10.3103/S0278641919010023.pdf,10.3103/S0278641919010023,Quantum algorithm,
All-Pairs Shortest Paths,APSP (Adjacency List Model),Furrow 3,2006,5.3,O(sqrt(n^3*m)*log(n) + n^2*log^3(n)),,,,1.0,,,,Quantum Computing,['Bartholomew Furrow'],['A Panoply of Quantum Algorithms'],https://arxiv.org/pdf/quant-ph/0606127,10.48550/arXiv.quant-ph/0606127,Quantum algorithm,
All-Pairs Shortest Paths,APSP (Adjacency Matrix Model),Furrow 3,2006,5.6,O(n^(5/2)*log(n)),,,,1.0,,,,Quantum Computing,['Bartholomew Furrow'],['A Panoply of Quantum Algorithms'],https://arxiv.org/pdf/quant-ph/0606127,10.48550/arXiv.quant-ph/0606127,Quantum algorithm,
All-Pairs Shortest Paths,APSP on Geometrically Weighted Graphs,"Nayebi, Williams",2014,5.4,O(n^(5/2 - ε)),,,,1.0,,,,Quantum Computing,"['Aran Nayebi', 'Virginia Vassilevska Williams']",['Quantum algorithms for shortest paths problems in structured instances'],https://arxiv.org/pdf/1410.6220,10.48550/arXiv.1410.6220,Quantum algorithm,
All-Pairs Shortest Paths,APSP on Dense Undirected Graphs with Positive Integer Weights,"Nayebi, Williams",2014,5.4,O(n^(5/2 - ε)),,,,1.0,,,,Quantum Computing,"['Aran Nayebi', 'Virginia Vassilevska Williams']",['Quantum algorithms for shortest paths problems in structured instances'],https://arxiv.org/pdf/1410.6220,10.48550/arXiv.1410.6220,Quantum algorithm,
All-Pairs Shortest Paths,APSP on Sparse Directed Graphs with Arbitrary Weights,Prasad,2025,5.5,O(n^5/2 + m),,,,1.0,,,,Quantum Computing,['Yalla Jnan Devi Satya Prasad'],"['Q-Johnson: Quantum-Accelerated Johnson’s
Algorithm for All-Pairs Shortest Paths']",https://d197for5662m48.cloudfront.net/documents/publicationstatus/284528/preprint_pdf/a48b70b13b3681ae0f55108809505ac1.pdf,10.36227/techrxiv.176049726.67142514/v1,Quantum algorithm,
Graph Triangle Problems,Triangle Detection,"Buhrman, Dürr, Heiligman, Høyer, Magniez, Santha, De Wolf",2000,3.5,O(n + sqrt(n*m)),,,,1.0,,,,Quantum Computing,"['Harry Buhrman', 'Christoph Durr', 'Mark Heiligman', 'Peter Høyer', 'Frederic Magniez', 'Miklos Santha', 'Ronald de Wolf']",['Quantum Algorithms for Element Distinctness'],https://arxiv.org/pdf/quant-ph/0007016,10.48550/arXiv.quant-ph/0007016,Quantum algorithm,
Graph Triangle Problems,Triangle Detection,"Magniez, Santha, Szegedy 1",2005,4.4,O(n^(10/7)*poly(log(n))),,2.0,O(log(n)),1.0,,,,Quantum Computing,"['Frederic Magniez', 'Miklos Santha', 'Mario Szegedy']",['Quantum Algorithms for the Triangle Problem'],https://arxiv.org/pdf/quant-ph/0310134,10.48550/arXiv.quant-ph/0310134,Quantum algorithm,
Graph Triangle Problems,Triangle Detection,"Magniez, Santha, Szegedy 2",2005,4.3,O(n^(13/10)*poly(log(n))),,3.0,O(n),1.0,,,,Quantum Computing,"['Frederic Magniez', 'Miklos Santha', 'Mario Szegedy']",['Quantum Algorithms for the Triangle Problem'],https://arxiv.org/pdf/quant-ph/0310134,10.48550/arXiv.quant-ph/0310134,Quantum algorithm,
Graph Cycles,Cycle Finding,"Cade, Montanaro, Belovs",2016,4.5,Õ(n^(3/2)),,2.0,O(log(n)),1.0,,,,Quantum Computing,"['Chris Cade', 'Ashley Montanaro', 'Aleksandrs Belovs']",['Time and Space Efficient Quantum Algorithms for Detecting Cycles and Testing Bipartiteness'],https://arxiv.org/pdf/1610.00581.pdf,10.48550/arXiv.1610.00581,Quantum algorithm,
Sorting,Sorting,"Farhi, Goldstone, Gutmann, Sipser",1999,4.0,O(n*log(n)),,,,1.0,,,,Quantum Computing,"['Edward Farhi', 'Jeffrey Goldstone', 'Sam Gutmann', 'Michael Sipser']",['Invariant Quantum Algorithms for Insertion into an Ordered List'],https://arxiv.org/pdf/quant-ph/9901059,10.48550/arXiv.quant-ph/9901059,Quantum algorithm,This algorithm is insertion sort with a ordered search quantum subroutine (time complexity is given in the query model)
Sorting,Sorting,"Høyer, Neerbek, Shi",2002,4.0,O(n*log(n)),,,,1.0,,,,Quantum Computing,"['Peter Høyer', 'Jan Neerbek', 'Yaoyun Shi']","['Quantum Complexities of Ordered Searching, Sorting, and Element Distinctness']",https://link.springer.com/article/10.1007/s00453-002-0976-3,10.1007/s00453-002-0976-3,Quantum algorithm,This algorithm is insertion sort with a ordered search quantum subroutine (time complexity is given in the query model)
Sorting,Sorting,Jacokes,2007,4.0,O(n*log(n)),,,,1.0,,,,Quantum Computing,['Brian Jacokes'],['An Improved Quantum Algorithm for Searching an Ordered List'],https://web.mit.edu/rsi/www/pdfs/papers/2003/2003-brianj.pdf,,Quantum algorithm,This algorithm is insertion sort with a ordered search quantum subroutine (time complexity is given in the query model)
Sorting,Sorting,"Childs, Landahl, Parrilo",2006,4.0,O(n*log(n)),,,,1.0,,,,Quantum Computing,"['Andrew M. Childs', 'Andrew J. Landahl', 'Pablo A. Parrilo']",['Improved quantum algorithms for the ordered search problem via semidefinite programming'],https://arxiv.org/pdf/quant-ph/0608161,10.48550/arXiv.quant-ph/0608161,Quantum algorithm,This algorithm is insertion sort with a ordered search quantum subroutine (time complexity is given in the query model)
Sorting,Sorting,"Ben-Or, Hassidim",2008,4.0,,,,,1.0,,,1.0,Quantum Computing,"['Michael Ben-Or', 'Avinatan Hassidim']",['The Bayesian Learner is Optimal for Noisy Binary Search (and Pretty Good for Quantum as Well)'],https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4690956,10.1109/FOCS.2008.58,Quantum algorithm,This algorithm is insertion sort with a ordered search quantum subroutine (time complexity is given in the query model)
Sorting,Sorting,Quantum Merge Sort,2006,4.0,O(n*log(n)),,,,1.0,,,,Quantum Computing,"['Sheng-Tzong Cheng', 'Chun-Yen Wang']",['Quantum switching and quantum merge sorting'],https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1593938,10.1109/TCSI.2005.856669,Quantum algorithm,
The Subset-Sum Problem,Subset Sum,Subset Sum Quantum Search,2009,8.0,O(2^(n/2)),,3.0,O(n),1.0,,,,Quantum Computing,"['Weng-Long Chang', 'Ting-Ting Ren', 'Mang Feng', 'Shu-Chien Huang', 'Kawuu Weicheng Lin', 'Minyi Guo', 'Lai Chin Lu']",['Quantum Algorithms of the Subset-Sum Problem on a Quantum Computer'],https://www.researchgate.net/publication/224581058_Quantum_Algorithms_of_the_Subset-Sum_Problem_on_a_Quantum_Computer,10.1109/ICIE.2009.15,Quantum algorithm,
The Subset-Sum Problem,Subset Sum,Subset Sum Quantum Search with a Modulus,2013,8.0,O(2^(3n/8)),,,,1.0,,,,Quantum Computing,"['Daniel J. Bernstein', 'Stacey Jeffery', 'Tanja Lange', 'Alexander Meurer ']",['Quantum Algorithms for the Subset-Sum Problem'],https://link.springer.com/chapter/10.1007/978-3-642-38616-9_2,10.1007/978-3-642-38616-9_2,Quantum algorithm,
The Subset-Sum Problem,Subset Sum,Subset Sum Quantum Left-Right Split,2013,8.0,O(2^(n/3)),,8.0,O(2^(n/3)),1.0,,,,Quantum Computing,"['Daniel J. Bernstein', 'Stacey Jeffery', 'Tanja Lange', 'Alexander Meurer ']",['Quantum Algorithms for the Subset-Sum Problem'],https://link.springer.com/chapter/10.1007/978-3-642-38616-9_2,10.1007/978-3-642-38616-9_2,Quantum algorithm,
The Subset-Sum Problem,Subset Sum,Subset Sum Quantum Walk,2013,8.0,O(2^(n/3)),,,,1.0,,,,Quantum Computing,"['Daniel J. Bernstein', 'Stacey Jeffery', 'Tanja Lange', 'Alexander Meurer ']",['Quantum Algorithms for the Subset-Sum Problem'],https://link.springer.com/chapter/10.1007/978-3-642-38616-9_2,10.1007/978-3-642-38616-9_2,Quantum algorithm,
The Subset-Sum Problem,Subset Sum,Subset Sum Quantum Walk with a Modulus,2013,8.0,O(2^(0.3*n)),,,,1.0,,,,Quantum Computing,"['Daniel J. Bernstein', 'Stacey Jeffery', 'Tanja Lange', 'Alexander Meurer ']",['Quantum Algorithms for the Subset-Sum Problem'],https://link.springer.com/chapter/10.1007/978-3-642-38616-9_2,10.1007/978-3-642-38616-9_2,Quantum algorithm,
The Subset-Sum Problem,Subset Sum,Subset Sum Quantum Walk with Moduli and Representations,2013,8.0,O(2^(0.241*n)),,,,1.0,,,,Quantum Computing,"['Daniel J. Bernstein', 'Stacey Jeffery', 'Tanja Lange', 'Alexander Meurer ']",['Quantum Algorithms for the Subset-Sum Problem'],https://link.springer.com/chapter/10.1007/978-3-642-38616-9_2,10.1007/978-3-642-38616-9_2,Quantum algorithm,
The Subset-Sum Problem,Subset Sum,Quantum Asymetric Howgrave-Graham-Joux,2020,8.0,O(2^(0.236*n)),,8.0,O(2^(0.236*n)),1.0,,,,Quantum Computing,"['Xavier Bonnetain', 'Rémi Bricout', 'André Schrottenloher', 'Yixin Shen']",['Improved Classical and Quantum Algorithms for Subset-Sum'],https://arxiv.org/pdf/2002.05276v2,10.48550/arXiv.2002.05276,Quantum algorithm,
The Subset-Sum Problem,Subset Sum,"Bonnetain, Bricout,  Schrottenloher, Shen 2",2020,8.0,O(2^(0.218*n)),,,,1.0,,,,Quantum Computing,"['Xavier Bonnetain', 'Rémi Bricout', 'André Schrottenloher', 'Yixin Shen']",['Improved Classical and Quantum Algorithms for Subset-Sum'],https://arxiv.org/pdf/2002.05276v2,10.48550/arXiv.2002.05276,Quantum algorithm,This algorithm is slightly slower than the previous algorithm but doesn't need the heuristic formalized by Helm-May
Convex Hull,2-dimensional Convex Hull,,2021,,,,,,0.0,,,,,"['Cheng Wang', 'Ri-Gui Zhou']",['A quantum search algorithm of two-dimensional convex hull'],https://iopscience.iop.org/article/10.1088/1572-9494/ac1da0,10.1088/1572-9494/ac1da0,Quantum algorithm,
Convex Hull,2-dimensional Convex Hull,,2004,2.5,O(N^(1/2) h),,2.0,O(log N),1.0,,,,Quantum Computing,"['Marco Lanzagorta', 'Jeffrey K. Uhlmann']",['Quantum computational geometry'],https://www.spiedigitallibrary.org/conference-proceedings-of-spie/5436/1/Quantum-computational-geometry/10.1117/12.541624.full,10.1117/12.541624,Quantum Algorithm,
Convex Hull,2-dimensional Convex Hull,,2009,,,,,,0.0,,,,,"['Marco Lanzagorta', 'Jeffrey K. Uhlmann']",['Quantum algorithmic methods for computational geometry'],https://www.proquest.com/docview/763607623?fromopenview=true&pq-origsite=gscholar&sourcetype=Scholarly%20Journals,10.1017/S0960129510000411,Quantum Algorithm,
Geometric Incidence Problems,Point on 3 lines,,2020,,,,,,0.0,,,,,"['Andris Ambainis', 'Nikita Larka']",['Quantum algorithms for computational geometry problems'],https://arxiv.org/pdf/2004.08949,10.48550/arXiv.2004.08949,Quantum Algorithm,
Key Distribution,Quantum Key Distribution,BB84,1984,,,,,,,,,,,"['Charles H. Bennett', 'Gilles Brassard']",['Quantum cryptography: Public key distribution and coin tossing'],https://arxiv.org/pdf/2003.06557,10.48550/arXiv.2003.06557,Quantum Algorithm,"Original protocol for QKD, uses photon polarization"
Key Distribution,Quantum Key Distribution,E91,1991,,,,,,,,,,,['Artur K. Ekert'],['Quantum cryptography based on Bell’s theorem'],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.67.661,10.1103/PhysRevLett.67.661,Quantum Algorithm,"Scheme dependent on Bell's Theorem, uses entangled photons"
Key Distribution,Quantum Key Distribution,BBM92,1992,,,,,,,,,,,"['Charles H. Bennett', 'Gilles Brassard', 'N. David Mermin']",['Quantum cryptography without Bell’s theorem'],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.68.557,10.1103/PhysRevLett.68.557,Quantum Algorithm,"Scheme that does not depend on Bell's Theorem, uses decoy states"
Key Distribution,Quantum Key Distribution,B92,1992,,,,,,,,,,,['Charles H. Bennett'],['Quantum cryptography using any two nonorthogonal states'],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.68.3121,10.1103/PhysRevLett.68.3121,Quantum Algorithm,"Simplification of BB84, using two orthogonal states instead of four"
Key Distribution,Quantum Key Distribution,MSZ96,1996,,,,,,,,,,,"['Yi Mu', 'Jennifer Seberry', 'Yuliang Zheng']",['Shared cryptographic bits via quantized quadrature phase amplitudes of light'],https://www.sciencedirect.com/science/article/abs/pii/0030401895006885,10.1016/0030-4018(95)00688-5,Quantum Algorithm,"Scheme implemented without photon polarization or entanglement, using four nonorthogonal states"
Key Distribution,Quantum Key Distribution,SSP,1998,,,,,,,,,,,['Dagmar Bruss'],['Optimal Eavesdropping in Quantum Cryptography with Six States'],https://arxiv.org/abs/quant-ph/9805019,10.48550/arXiv.quant-ph/9805019,Quantum Algorithm,Modification on BB84 with three orthogonal state bases
Key Distribution,Quantum Key Distribution,DPS,2002,,,,,,,,,,,"['Kyo Inoue', 'Edo Waks', 'Yoshihisa Yamamoto']",['Differential Phase Shift Quantum Key Distribution'],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.89.037902,10.1103/PhysRevLett.89.037902,Quantum Algorithm,Does not require a basis selection process and uses fewer receivers
Key Distribution,Quantum Key Distribution,Decoy State,2003,,,,,,,,,,,"['Hoi-Kwong Lo', 'Xiongfeng Ma', 'Kai Chen']",['Decoy State Quantum Key Distribution'],https://arxiv.org/abs/quant-ph/0411004,10.48550/arXiv.quant-ph/0411004,Quantum Algorithm,Higher secure transmission rates and longer channel lengths than BB84
Key Distribution,Quantum Key Distribution,SARG04,2004,,,,,,,,,,,"['Valerio Scarani', 'Antonio Acin', 'Gregoire Ribordy', 'Nicolas Gisin']",['Quantum cryptography protocols robust against photon number splitting attacks for weak laser pulses implementations'],https://arxiv.org/abs/quant-ph/0211131,10.48550/arXiv.quant-ph/0211131,Quantum Algorithm,Modification on BB84 to make it more robust against photon-number-splitting-attacks
Key Distribution,Quantum Key Distribution,COW,2005,,,,,,,,,,,"['Damien Stucki', 'Nicolas Brunner', 'Nicolas Gisin', 'Valerio Scarani', 'Hugo Zbinden']",['Fast and simple one-way quantum key distribution'],https://pubs.aip.org/aip/apl/article/87/19/194108/329947/Fast-and-simple-one-way-quantum-key-distribution,10.1063/1.2126792,Quantum Algorithm,"High information transfer rate, only requires a random number generator on client side"
Key Distribution,Quantum Key Distribution,Three-Stage,2006,,,,,,,,,,,['Subhash Kak'],['A Three-Stage Quantum Cryptography Protocol'],https://arxiv.org/abs/quant-ph/0503027,10.48550/arXiv.quant-ph/0503027,Quantum Algorithm,"Continuous quantum communication, as opposed to using quantum properties to generate a classical key"
Key Distribution,Quantum Key Distribution,KBM09,2009,,,,,,,,,,,"['Muhammad Mubashir Khan', 'Michael Murphy', 'Almut Beige']",['High error-rate quantum key distribution for long-distance communication'],https://arxiv.org/abs/0901.3909,10.48550/arXiv.0901.3909,Quantum Algorithm,Increased transmission distances
Key Distribution,Quantum Key Distribution,T12,2013,,,,,,,,,,,"['M. Lucamarini', 'K. A. Patel', 'J. F. Dynes', 'B. Frohlich', 'A. W. Sharpe', 'A. R. Dixon', 'Z. L. Yuan', 'R. V. Penty', 'A. J. Shields']",['Efficient decoy-state quantum key distribution with quantified security'],https://arxiv.org/pdf/1310.0240,10.48550/arXiv.1310.0240,Quantum Algorithm,Increased key rate
Multiplication,Multiplication,Karatsuba,2015,4.5,Toffolli Gates: O(n^(log2(3)),,4.5,O(n^(log2(3)),1.0,,,,Quantum Computer,"Kepley, S., Steinwandt, R.",Quantum circuits for -multiplication with subquadratic gate count.,https://link.springer.com/article/10.1007/s11128-015-0993-1,https://doi.org/10.1007/s11128-015-0993-1,Quantum Algorithm,
Multiplication,Multiplication,Karatsuba,2023,1.0,Tofoli Depth: 1,,,,1.0,,,,Quantum Computer,"Jang K, Kim W, Lim S, Kang Y, Yang Y, Seo H.",Quantum Binary Field Multiplication with Optimized Toffoli Depth and Extension to Quantum Inversion.,https://pubmed.ncbi.nlm.nih.gov/36991867/,10.3390/s23063156.,Quantum Algorithm,
Multiplication,Multiplication,Karatsuba,2020,4.5,"Toffoli Gates: O(n^(log2(3)), CNOT Gates: O(n^2)",,3.0,O(n),1.0,,,,Quantum Computer,Iggy van Hoof,Space-efficient quantum multiplication of polynomials for binary finite fields with sub-quadratic Toffoli gate count,https://arxiv.org/pdf/1910.02849,https://doi.org/10.48550/arXiv.1910.02849,Quantum Algorithm,
Multiplication,Multiplication,Karatsuba,2017,4.5,Toffolli Gates: O(n^(log2(3)),,4.5,O(n^1.158),1.0,,,,Quantum Computer,"Alex Parent1 , Martin Roetteler2 , and Michele Mosca3",Improved reversible and quantum circuits for Karatsuba-based integer multiplication,https://arxiv.org/pdf/1706.03419,https://doi.org/10.48550/arXiv.1706.03419,Quantum Algorithm,
Multiplication,Multiplication,Wallace Tree,2025,,,,,,1.0,,,,Quantum Computer,"Hyunjun Kim1 , Sejin Lim1 , Kyungbae Jang1,2 , Siyi Wang2 , Anubhab Baksi3 , Anupam Chattopadhyay2 , and Hwajeong Seo1⋆",Tree-based Quantum Carry-Save Adder,https://eprint.iacr.org/2025/626.pdf,,Quantum Algorithm,
Multiplication,Multiplication,Wallace Tree,2021,,,,,,1.0,,,,Quantum Computer,"Gayathri, S.S.; Kumar, R.; Dhanalakshmi, S.; Dooly, G.; Duraibabu, D.B.","T-Count Optimized
Quantum Circuit Designs for
Single-Precision Floating-Point
Division.",https://www.mdpi.com/2079-9292/10/6/703,https://doi.org/10.3390/electronics10060703,Quantum Algorithm,
Multiplication,Multiplication,Schönhage-Strassen,2023,2.0,Circuit Depth: O(log^2(n)),,4.0,O(n log n log log n),1.0,,,,Quantum Computer,"Nie, Junhong & Zhu, Qinlin & Li, Meng & Sun, Xiaoming.",Quantum Circuit Design for Integer Multiplication Based on Schönhage–Strassen Algorithm.,https://www.researchgate.net/publication/371194851_Quantum_circuit_design_for_integer_multiplication_based_on_Schonhage-Strassen_algorithm,https://doi.org/10.1109/TCAD.2023.3279300,Quantum Algorithm,
Multiplication,Multiplication,Windowed,2019,5.0,Toffoli Count: O(n^2 / logn),,,,1.0,,,,Quantum Computer,Craig Gidney,Windowed quantum arithmetic,https://arxiv.org/pdf/1905.07682,https://doi.org/10.48550/arXiv.1905.07682,Quantum Algorithm,
Multiplication,Multiplication,Schoolbook,2004,2.0,Circuit Depth: O(log(n)),,3.0,O(n),1.0,,,,Quantum Computer,"Draper, Thomas & Kutin, Samuel & Rains, Eric & Svore, Krysta",A logarithmic-depth quantum carry-lookahead adder,https://www.researchgate.net/publication/2193063_A_logarithmic-depth_quantum_carry-lookahead_adder,https://doi.org/10.26421/QIC6.4-5-4,Quantum Algorithm,
Multiplication,Multiplication,Toom-Cook 2.5,2018,4.5,Toffli Depth: O(n^1.143),,4.5,O(n^1.404),1.0,,,,Quantum Computer,"Srijit Dutta,1 Debjyoti Bhattacharjee,2,* and Anupam Chattopadhyay2",Quantum circuits for Toom-Cook multiplication,https://journals.aps.org/pra/pdf/10.1103/PhysRevA.98.012311,: 10.1103/PhysRevA.98.012311,Quantum Algorithm,
Multiplication,Multiplication,Toom-Cook 3,2021,4.5,Toffli Depth: O(n^1.143),,4.5,O(n^1.259),,,,,Quantum Computer,"Larasati, H.T.; Awaludin, A.M.; Ji, J.; Kim, H.",Quantum Circuit Design of Toom 3-Way Multiplication,https://www.mdpi.com/2076-3417/11/9/3752,https://doi.org/10.3390/app11093752,Quantum Algorithm,
Multiplication,Multiplication,Toom-Cook 8,2023,4.0,Toffoli Depth: O(n^1.10569),,4.5,O(n^1.245),,,,,Quantum Computer,"Putranto, Dedy & Wardhani, Rini & Larasati, Harashta & Kim, Howon",Space and Time-Efficient Quantum Multiplier in Post Quantum Cryptography Era,https://www.researchgate.net/publication/369004400_Space_and_Time-Efficient_Quantum_Multiplier_in_Post_Quantum_Cryptography_Era,https://doi.org/10.1109/ACCESS.2023.3252504,Quantum Algorithm,
Multiplication,Multiplication,Shift-and-Add,2016,5.0,n^2,,3.0,"O(4n+1), Ancillae O(2n+1)",1.0,,,,Quantum Computer,"H. V. Jayashree, Himanshu Thapliyal, Hamid R. Arabnia, V. K.",Ancilla-input and garbage-output optimized design of a reversible quantum integer multiplier,https://dl.acm.org/doi/10.1007/s11227-016-1676-0,https://doi.org/10.1007/s11227-016-1676-0,Quantum Algorithm,
Multiplication,Multiplication,Shift-and-Add,2018,5.0,n^2,,3.0,"O(4n+1), Ancillae O(2n+1)",1.0,,,,Quantum Computer,E. Muñoz-Coreas and H. Thapliyal,Quantum Circuit Design of a T-count Optimized Integer Multiplier,https://ieeexplore.ieee.org/document/8543237,doi: 10.1109/TC.2018.2882774.,Quantum Algorithm,
Multiplication,Multiplication,Zero Ancillas,2024,4.5,O(n^(log_k 2)),,,,1.0,,,,Quantum Computer,"['Gregory D. Kahanamoku-Meyer', 'Norman Y. Yao']",Fast quantum integer multiplication with zero ancillas,https://arxiv.org/pdf/2403.18006,10.48550/arXiv.2403.18006,Quantum Algorithm,
Multiplication,Multiplication,,2023,2.8,O(sqrt(n) log^2 (n)),,,,1.0,,,,,"['Mehdi Ramezani', 'Morteza Nikaeen', 'Farnaz Farman', 'Seyed Mahmoud Ashrafi', 'Alireza Bahrampour']",Quantum Multiplication Algorithm Based on the Convolution Theorem,https://arxiv.org/abs/2306.08473,10.48550/arXiv.2306.08473,Quantum Algorithm,
Multiplication,Multiplication,,2025,3.1,O(m^(log_2 (3)),,,,1.0,,,,,"['Noureldin Yosri', 'Dmytro Gavinsky', 'Dmitri Maslov']",Asymptotic yet practical optimization of quantum circuits implementing GF(2m) multiplication and division operations,https://arxiv.org/abs/2511.20618,10.48550/arXiv.2511.20618,Quantum Algorithm,
Multiplication,Multiplication,,2025,3.1,O(n^log_2 (3)),,4.0,O(n log n),1.0,,,,,['Vivien Vandaele'],Quantum binary field multiplication with subquadratic Toffoli gate count and low space-time cost,https://arxiv.org/abs/2501.16136,10.48550/arXiv.2501.16136,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2000,2.0,O(log(n)),,4.0,O(n(logn)^2 log log n),1.0,,,,,"Richard Cleve, John Watrous (University of Calgary)",Fast parallel circuits for the quantum Fourier transform,https://arxiv.org/abs/quant-ph/0006004,https://doi.org/10.48550/arXiv.quant-ph/0006004,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2000,4.0,O(n log (n)),,,,1.0,,,,,L. Hales and S. Hallgren,An improved quantum Fourier transform algorithm and applications,https://ieeexplore.ieee.org/document/892139,doi: 10.1109/SFCS.2000.892139,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2019,4.0,T Count: O(n log (n)),,,,1.0,,,,,"Yunseong Nam, Yuan Su, Dmitri Maslov",Approximate Quantum Fourier Transform with O(nlog(n)) T gates,https://arxiv.org/abs/1803.04933,https://doi.org/10.48550/arXiv.1803.04933,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2024,4.0,"(Circuit 1 -- T Count: O(nlog(n)), T Depth: O(n log(n))) (Circuit 2 -- T Depth: O(n log log n), T Count: O(nlog(n))",,,,1.0,,,,,"Byeongyong Park, Doyeol Ahn (David)",T-count optimization of approximate quantum Fourier transform,https://arxiv.org/abs/2203.07739,https://doi.org/10.48550/arXiv.2203.07739,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2007,3.0,Depth: O(n),,,Ancilla: 0,1.0,,,,,D. Maslov,Linear Depth Stabilizer and Quantum Fourier Transformation Circuits with no Auxiliary Qubits in Finite Neighbor Quantum Architectures,https://arxiv.org/abs/quant-ph/0703211,https://doi.org/10.48550/arXiv.quant-ph/0703211,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2007,3.0,Depth: O(n),,4.0,O(n log (n)),1.0,,,,,"Takahashi, Yasuhiro & Kunihiro, Noboru & Ohta, Kazuo",The quantum Fourier transform on a linear nearest neighbor architecture,https://www.researchgate.net/publication/220436036_The_quantum_Fourier_transform_on_a_linear_nearest_neighbor_architecture,https://doi.org/10.26421/QIC7.4-7,Quantum Algorithm,
Nash Equilbrium,Nash Equilbrium,,2025,,,,,,1.0,,,,,"Tongyang Li, Xinzhao Wang, Yexin Zhang",Near-Optimal Quantum Algorithms for Computing (Coarse) Correlated Equilibria of General-Sum Games,https://arxiv.org/pdf/2510.16782,https://doi.org/10.48550/arXiv.2510.16782,Quantum Algorithm,
Nash Equilbrium,Nash Equilbrium,,2019,,,,,,1.0,,,,,"Joran van Apeldoorn, András Gilyén",Quantum algorithms for zero-sum games,https://arxiv.org/pdf/1904.03180,https://doi.org/10.48550/arXiv.1904.03180,Quantum Algorithm,
Nash Equilbrium,Nash Equilbrium,,2019,,,,,,1.0,,,,,"Tongyang Li, Shouvanik Chakrabarti, Xiaodi Wu",Sublinear quantum algorithms for training linear and kernel-based classifiers,https://arxiv.org/pdf/1904.02276,https://doi.org/10.48550/arXiv.1904.02276,Quantum Algorithm,
Nash Equilbrium,Nash Equilbrium,,2024,,,,,,1.0,,,,,"Po-Wei Huang, Patrick Rebentrost",Quantum algorithm for large-scale market equilibrium computation,https://proceedings.neurips.cc/paper_files/paper/2024/file/14bc8528848d15d2d096127d0f64c1f9-Paper-Conference.pdf,https://doi.org/10.48550/arXiv.2405.13788,Quantum Algorithm,
Nash Equilbrium,Nash Equilbrium,,2023,,,,,,1.0,,,,,"Francisca Vasconcelos, Emmanouil-Vasileios Vlatakis-Gkaragkounis, Panayotis Mertikopoulos, Georgios Piliouras, Michael I. Jordan",A Quadratic Speedup in Finding Nash Equilibria of Quantum Zero-Sum Games,https://quantum-journal.org/papers/q-2025-05-06-1737/pdf/,https://doi.org/10.22331/q-2025-05-06-1737,Quantum Algorithm,
Lu Decomposition,Lu Decomposition,,2025,6.0,n^3,,,,1.0,,,,Quantum Computer,"['Sam Griffiths', 'Asmae Benhemou', 'Dan Browne']","['Online Gaussian elimination for quantum LDPC
decoding']",https://arxiv.org/pdf/2504.05080,,Quantum Algorithm,
