family,variation,algorithm,year,time_class,time_expr,time_encoding,space_class,space_expr,looked_at,approximate,heuristic,randomized,model,authors,title,paper_url,doi,description,remarks
Integer Factoring,Integer Factoring,Modified Shor's,2006,5.2,O(n^2 log n),,3.0,1.5n,1.0,,,,Quantum Computer,['Christof Zalka'],['Shor's algorithm with fewer (pure) qubits'],https://arxiv.org/abs/quant-ph/0601097,10.48550/arXiv.quant-ph/0601097,Quantum algorithm,Optimizations for the number of qubits used
Integer Factoring,Integer Factoring,Modified Shor's,2003,6.0,O(n^3),,3.0,2n +3,1.0,,,,Quantum Computer,['Stephane Beauregard'],['Circuit for Shor's algorithm using 2n+3 qubits'],https://arxiv.org/abs/quant-ph/0205095,10.48550/arXiv.quant-ph/0205095,Quantum algorithm,
Integer Factoring,Integer Factoring,Modified Shor's,2006,6.2,O(n^3 log n),,3.0,2n + 2,1.0,,,,Quantum Computer,"['Song Xiuli', 'Wen Liangsen']",['An improved circuit for Shor’s factoring algorithm using 2n + 2 qubits'],https://inspirehep.net/literature/2720697,10.1007/s11128-023-04159-y,Quantum algorithm,
Integer Factoring,Integer Factoring,Modified Shor's,2017,6.2,O(n^3 log n),,3.0,2n + 2,1.0,,,,Quantum Computer,"['Thomas Haner', 'Martin Roetteler', 'Krysta M. Svore']",['Factoring using 2n+2 qubits with Toffoli based modular multiplication'],https://arxiv.org/abs/1611.07995,10.48550/arXiv.1611.07995,Quantum algorithm,
Integer Factoring,Integer Factoring,,2025,5.0,O((log n)^2),,,,1.0,,,,Quantum Computer,"['Lukas Brenner', 'Libor Caha', 'Xavier Coiteux-Roy', 'Robert Koenig']",['Factoring an integer with three oscillators and a qubit'],https://pubmed.ncbi.nlm.nih.gov/41453897/,10.1038/s41467-025-67694-5,Quantum algorithm,
Integer Factoring,Integer Factoring,Variational Quantum Factoring,2018,2.8,O(s^2 n_c^4 n^8),,,,1.0,,,,Quantum Computer,"['Eric R. Anschuetz', 'Jonathan P. Olson', 'Alán Aspuru-Guzik', 'Yudong Cao']",['Variational Quantum Factoring'],https://arxiv.org/abs/1808.08927,10.48550/arXiv.1808.08927,Quantum algorithm,
Integer Factoring,Smallest Factor,Grover-based,2023,8.0,O(n^3 2^n),,3.0,< 2*n - 5,1.0,,,,Quantum Computer,"['S. Whitlock', 'T. D. Kieu']",['Quantum Factoring Algorithm using Grover Search'],https://arxiv.org/abs/2312.10054,,Quantum algorithm,also is a valid algorithm for general integer factoring
Logarithm Calculations,Logarithm Calculations,,2024,,Omega(n),,,,1.0,,,,,"['Minki Hhan', 'Takashi Yamakawa', 'Aaram Yun']",['Quantum Complexity for Discrete Logarithms and Related Problems'],https://arxiv.org/pdf/2307.03065,10.48550/arXiv.2307.03065,Quantum algorithm,proof of an asymptotic lower bound on algorithms for computing discrete logartihms
String Search,Single String Search,"Ramesh, Vinay",2000,2.5,O(sqrt(n)log(sqrt(n/m))log(m)+sqrt(m)log^2(m)),,,,1.0,,,,Quantum Computer,"['Ramesh', 'Vinay']",String Matching in Õ( √ n + √ m) Quantum Time,https://arxiv.org/pdf/quant-ph/0011049.pdf,10.1016/s1570-8667(03)00010-8,Quantum algorithm,
Polynomial Interpolation,Polynomial Interpolation,"Childs, Dam, Hung, Shparlinski",2016,3.0,d/2+1,,,,1.0,,,,Quantum Computer,"['Andrew M. Childs', 'Wim Van Dam', 'Shih-Han Hung', 'Igor E. Shparlinski']",Optimal Quantum Algorithm for Polynomial Interpolation,https://arxiv.org/pdf/1509.09271.pdf,10.4230/LIPIcs.ICALP.2016.16,Quantum algorithm,
